timestamp_iso,scenario,mode,fps,face_active,body_active,hands_active
2026-04-26T11:21:49,body_moving,body,29.98,0,1,0
2026-04-26T11:21:50,body_moving,body,29.98,0,1,0
2026-04-26T11:21:51,body_moving,body,29.97,0,1,0
2026-04-26T11:21:52,body_moving,body,29.96,0,1,0
2026-04-26T11:21:53,body_moving,body,29.99,0,1,0
2026-04-26T11:21:54,body_moving,body,29.98,0,1,0
2026-04-26T11:21:57,hand_near_face,body,25.21,0,1,0
2026-04-26T11:21:58,hand_near_face,body,29.58,0,1,0
2026-04-26T11:21:59,hand_near_face,body,30.39,0,1,0
2026-04-26T11:22:00,hand_near_face,body,29.58,0,1,0
2026-04-26T11:22:01,hand_near_face,body,30.37,0,1,0
2026-04-26T11:22:02,hand_near_face,body,29.58,0,1,0
2026-04-26T11:22:03,hand_near_face,body,30.13,0,1,0
2026-04-26T11:22:04,hand_near_face,body,29.02,0,1,0
2026-04-26T11:22:05,hand_near_face,body,29.93,0,1,0
2026-04-26T11:22:06,hand_near_face,body,30.03,0,1,0
2026-04-26T11:22:07,hand_near_face,body,29.99,0,1,0
2026-04-26T11:22:08,hand_near_face,body,29.78,0,1,0
2026-04-26T11:22:09,hand_near_face,body,30.16,0,1,0
2026-04-26T11:22:10,hand_near_face,body,29.89,0,1,0
2026-04-26T11:22:11,hand_near_face,body,29.99,0,1,0
2026-04-26T11:22:12,hand_near_face,body,29.84,0,1,0
2026-04-26T11:22:13,hand_near_face,body,30.00,0,1,0
2026-04-26T11:22:14,hand_near_face,body,30.04,0,1,0
2026-04-26T11:22:15,hand_near_face,body,29.90,0,1,0
2026-04-26T11:22:16,hand_near_face,body,29.00,0,1,0
2026-04-26T11:22:17,hand_near_face,body,29.97,0,1,0
2026-04-26T11:22:18,hand_near_face,body,29.98,0,1,0
2026-04-26T11:22:19,hand_near_face,body,29.99,0,1,0
2026-04-26T11:22:20,hand_near_face,body,28.96,0,1,0
2026-04-26T11:22:21,hand_near_face,body,29.99,0,1,0
2026-04-26T11:22:22,hand_near_face,body,29.98,0,1,0
2026-04-26T11:22:23,hand_near_face,body,30.00,0,1,0
2026-04-26T11:22:24,hand_near_face,body,29.97,0,1,0
2026-04-26T11:22:25,hand_near_face,body,30.02,0,1,0
2026-04-26T11:22:28,hand_on_face,body,25.81,0,1,0
2026-04-26T11:22:29,hand_on_face,body,29.94,0,1,0
2026-04-26T11:22:30,hand_on_face,body,29.89,0,1,0
2026-04-26T11:22:31,hand_on_face,body,29.95,0,1,0
2026-04-26T11:22:32,hand_on_face,body,30.18,0,1,0
2026-04-26T11:22:33,hand_on_face,body,29.96,0,1,0
2026-04-26T11:22:34,hand_on_face,body,29.98,0,1,0
2026-04-26T11:22:35,hand_on_face,body,29.80,0,1,0
2026-04-26T11:22:36,hand_on_face,body,29.00,0,1,0
2026-04-26T11:22:37,hand_on_face,body,29.93,0,1,0
2026-04-26T11:22:38,hand_on_face,body,29.06,0,1,0
2026-04-26T11:22:39,hand_on_face,body,29.13,0,1,0
2026-04-26T11:22:40,hand_on_face,body,29.91,0,1,0
2026-04-26T11:22:41,hand_on_face,body,29.89,0,1,0
2026-04-26T11:22:42,hand_on_face,body,30.00,0,1,0
2026-04-26T11:22:43,hand_on_face,body,29.97,0,1,0
2026-04-26T11:22:44,hand_on_face,body,29.96,0,1,0
2026-04-26T11:22:45,hand_on_face,body,29.97,0,1,0
2026-04-26T11:22:46,hand_on_face,body,29.98,0,1,0
2026-04-26T11:22:47,hand_on_face,body,29.98,0,1,0
2026-04-26T11:22:48,hand_on_face,body,30.00,0,1,0
2026-04-26T11:22:49,hand_on_face,body,30.17,0,1,0
2026-04-26T11:22:50,hand_on_face,body,29.75,0,1,0
2026-04-26T11:22:51,hand_on_face,body,29.97,0,1,0
2026-04-26T11:22:52,hand_on_face,body,29.99,0,1,0
2026-04-26T11:22:53,hand_on_face,body,30.00,0,1,0
2026-04-26T11:22:54,hand_on_face,body,29.96,0,1,0
2026-04-26T11:22:55,hand_on_face,body,29.97,0,1,0
2026-04-26T11:22:56,hand_on_face,body,30.15,0,1,0
